ticker,company_name,cik,exchange,sic_code,sic_description,source,updated_at
A,"AGILENT TECHNOLOGIES, INC.",1090872,NYSE,3826,Laboratory Analytical Instruments,SEC,2026-03-18T07:45:27.926542+00:00
AA,Alcoa Corp,1675149,NYSE,3334,Primary Production of  Aluminum,SEC,2026-03-18T07:45:27.926542+00:00
AAAU,Goldman Sachs Physical Gold ETF,1708646,CBOE,6221,Commodity Contracts Brokers & Dealers,SEC,2026-03-18T07:45:27.926542+00:00
AACB,Artius II Acquisition Inc.,2034334,Nasdaq,6770,Blank Checks,SEC,2026-03-18T07:45:27.926542+00:00
AACBR,Artius II Acquisition Inc.,2034334,Nasdaq,6770,Blank Checks,SEC,2026-03-18T07:45:27.926542+00:00
AACBU,Artius II Acquisition Inc.,2034334,Nasdaq,6770,Blank Checks,SEC,2026-03-18T07:45:27.926542+00:00
AACG,ATA Creativity Global,1420529,Nasdaq,8200,Services-Educational Services,SEC,2026-03-18T07:45:27.926542+00:00
AACO,Abony Acquisition Corp. I,2099906,,6770,Blank Checks,SEC,2026-03-18T07:45:27.926542+00:00
AAL,American Airlines Group Inc.,6201,Nasdaq,4512,"Air Transportation, Scheduled",SEC,2026-03-18T07:45:27.926542+00:00
AAM,AA Mission Acquisition Corp.,2012964,NYSE,6770,Blank Checks,SEC,2026-03-18T07:45:27.926542+00:00
AAME,ATLANTIC AMERICAN CORP,8177,Nasdaq,6311,Life Insurance,SEC,2026-03-18T07:45:27.926542+00:00
AAMI,Acadian Asset Management Inc.,1748824,NYSE,6282,Investment Advice,SEC,2026-03-18T07:45:27.926542+00:00
AAMTF,Armada Mercantile Ltd,1327899,OTC,,,SEC,2026-03-18T07:45:27.926542+00:00
AAOI,"APPLIED OPTOELECTRONICS, INC.",1158114,Nasdaq,3674,Semiconductors & Related Devices,SEC,2026-03-18T07:45:27.926542+00:00
AAON,"AAON, INC.",824142,Nasdaq,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,SEC,2026-03-18T07:45:27.926542+00:00
AAP,ADVANCE AUTO PARTS INC,1158449,NYSE,5531,Retail-Auto & Home Supply Stores,SEC,2026-03-18T07:45:27.926542+00:00
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,2023311,Nasdaq,2834,Pharmaceutical Preparations,SEC,2026-03-18T07:45:27.926542+00:00
AAPI,"Apple iSports Group, Inc.",1134982,OTC,6411,"Insurance Agents, Brokers & Service",SEC,2026-03-18T07:45:27.926542+00:00
AAPL,Apple Inc.,320193,Nasdaq,3571,Electronic Computers,SEC,2026-03-18T07:45:27.926542+00:00
AAQL,Antiaging Quantum Living Inc.,1672571,OTC,7331,Services-Direct Mail Advertising Services,SEC,2026-03-18T07:45:27.926542+00:00
AARD,"Aardvark Therapeutics, Inc.",1774857,Nasdaq,2834,Pharmaceutical Preparations,SEC,2026-03-18T07:45:27.926542+00:00
AAS,Antharas Inc,2010218,,6500,Real Estate,SEC,2026-03-18T07:45:27.926542+00:00
AASP,Agassi Sports Entertainment Corp.,930245,OTC,5900,Retail-Miscellaneous Retail,SEC,2026-03-18T07:45:27.926542+00:00
AAT,"American Assets Trust, Inc.",1500217,NYSE,6798,Real Estate Investment Trusts,SEC,2026-03-18T07:45:27.926542+00:00
AATC,AUTOSCOPE TECHNOLOGIES CORP,943034,OTC,3829,"Measuring & Controlling Devices, NEC",SEC,2026-03-18T07:45:27.926542+00:00
AAUAF,ALMADEN MINERALS LTD,1015647,OTC,1000,Metal Mining,SEC,2026-03-18T07:45:27.926542+00:00
AAUC,Allied Gold Corp,1993344,NYSE,,,SEC,2026-03-18T07:45:27.926542+00:00
AAUGD,AERO ENERGY Ltd,1905688,OTC,,,SEC,2026-03-18T07:45:27.926542+00:00
AAUGF,AERO ENERGY Ltd,1905688,OTC,,,SEC,2026-03-18T07:45:27.926542+00:00
AAVXF,Abivax S.A.,1956827,OTC,2834,Pharmaceutical Preparations,SEC,2026-03-18T07:45:27.926542+00:00
AAWH,"Ascend Wellness Holdings, Inc.",1756390,OTC,2833,Medicinal Chemicals & Botanical Products,SEC,2026-03-18T07:45:27.926542+00:00
AB,ALLIANCEBERNSTEIN HOLDING L.P.,825313,NYSE,6282,Investment Advice,SEC,2026-03-18T07:45:27.926542+00:00
ABAKF,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",790500,OTC,,,SEC,2026-03-18T07:45:27.926542+00:00
ABAT,AMERICAN BATTERY TECHNOLOGY Co,1576873,Nasdaq,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),SEC,2026-03-18T07:45:27.926542+00:00
ABBNY,ABB LTD,1091587,OTC,3613,Switchgear & Switchboard Apparatus,SEC,2026-03-18T07:45:27.926542+00:00
ABBV,AbbVie Inc.,1551152,NYSE,2834,Pharmaceutical Preparations,SEC,2026-03-18T07:45:27.926542+00:00
ABCB,Ameris Bancorp,351569,NYSE,6022,State Commercial Banks,SEC,2026-03-18T07:45:27.926542+00:00
ABCFF,ABACUS MINING & EXPLORATION CORP,1284237,OTC,,,SEC,2026-03-18T07:45:27.926542+00:00
ABCL,AbCellera Biologics Inc.,1703057,Nasdaq,2834,Pharmaceutical Preparations,SEC,2026-03-18T07:45:27.926542+00:00
ABCP,AmBase Corp,20639,OTC,6512,Opeators of  Nonresidential Buildings,SEC,2026-03-18T07:45:27.926542+00:00
ABEO,ABEONA THERAPEUTICS INC.,318306,Nasdaq,2834,Pharmaceutical Preparations,SEC,2026-03-18T07:45:27.926542+00:00
ABEV,AMBEV S.A.,1565025,NYSE,2080,Beverages,SEC,2026-03-18T07:45:27.926542+00:00
ABG,ASBURY AUTOMOTIVE GROUP INC,1144980,NYSE,5500,Retail-Auto Dealers & Gasoline Stations,SEC,2026-03-18T07:45:27.926542+00:00
ABIT,Athena Bitcoin Global,1095146,OTC,6199,Finance Services,SEC,2026-03-18T07:45:27.926542+00:00
ABLV,Able View Global Inc.,1957489,Nasdaq,5960,Retail-Nonstore Retailers,SEC,2026-03-18T07:45:27.926542+00:00
ABLVW,Able View Global Inc.,1957489,Nasdaq,5960,Retail-Nonstore Retailers,SEC,2026-03-18T07:45:27.926542+00:00
ABLZF,ABB LTD,1091587,OTC,3613,Switchgear & Switchboard Apparatus,SEC,2026-03-18T07:45:27.926542+00:00
ABM,ABM INDUSTRIES INC /DE/,771497,NYSE,7340,Services-To Dwellings & Other Buildings,SEC,2026-03-18T07:45:27.926542+00:00
ABNB,"Airbnb, Inc.",1559720,Nasdaq,7340,Services-To Dwellings & Other Buildings,SEC,2026-03-18T07:45:27.926542+00:00
ABOS,"Acumen Pharmaceuticals, Inc.",1576885,Nasdaq,2836,"Biological Products, (No Diagnostic Substances)",SEC,2026-03-18T07:45:27.926542+00:00
