ticker,company_name,cik,exchange
NVDA,NVIDIA CORP,1045810,Nasdaq
AAPL,Apple Inc.,320193,Nasdaq
GOOGL,Alphabet Inc.,1652044,Nasdaq
MSFT,MICROSOFT CORP,789019,Nasdaq
AMZN,AMAZON COM INC,1018724,Nasdaq
META,"Meta Platforms, Inc.",1326801,Nasdaq
AVGO,Broadcom Inc.,1730168,Nasdaq
TSLA,"Tesla, Inc.",1318605,Nasdaq
BRK-B,BERKSHIRE HATHAWAY INC,1067983,NYSE
WMT,Walmart Inc.,104169,Nasdaq
LLY,ELI LILLY & Co,59478,NYSE
JPM,JPMORGAN CHASE & CO,19617,NYSE
V,VISA INC.,1403161,NYSE
SPY,SPDR S&P 500 ETF TRUST,884394,NYSE
XOM,EXXON MOBIL CORP,34088,NYSE
JNJ,JOHNSON & JOHNSON,200406,NYSE
ASML,ASML HOLDING NV,937966,Nasdaq
MA,Mastercard Inc,1141391,NYSE
COST,COSTCO WHOLESALE CORP /NEW,909832,Nasdaq
MU,MICRON TECHNOLOGY INC,723125,Nasdaq
BAC,BANK OF AMERICA CORP /DE/,70858,NYSE
ORCL,ORACLE CORP,1341439,NYSE
ABBV,AbbVie Inc.,1551152,NYSE
BABA,Alibaba Group Holding Ltd,1577552,NYSE
HD,"HOME DEPOT, INC.",354950,NYSE
PG,PROCTER & GAMBLE Co,80424,NYSE
CVX,CHEVRON CORP,93410,NYSE
NFLX,NETFLIX INC,1065280,Nasdaq
AMD,ADVANCED MICRO DEVICES INC,2488,Nasdaq
CAT,CATERPILLAR INC,18230,NYSE
KO,COCA COLA CO,21344,NYSE
GE,GENERAL ELECTRIC CO,40545,NYSE
CSCO,"CISCO SYSTEMS, INC.",858877,Nasdaq
PLTR,Palantir Technologies Inc.,1321655,Nasdaq
TM,TOYOTA MOTOR CORP/,1094517,NYSE
HSBC,HSBC HOLDINGS PLC,1089113,NYSE
MRK,"Merck & Co., Inc.",310158,NYSE
NVS,NOVARTIS AG,1114448,NYSE
AZN,ASTRAZENECA PLC,901832,NYSE
CYATY,"Contemporary Amperex Technology Co., Limited/ADR",2070829,OTC
WFC,WELLS FARGO & COMPANY/MN,72971,NYSE
LRCX,LAM RESEARCH CORP,707549,Nasdaq
MS,MORGAN STANLEY,895421,NYSE
PM,Philip Morris International Inc.,1413329,NYSE
GS,GOLDMAN SACHS GROUP INC,886982,NYSE
IBM,INTERNATIONAL BUSINESS MACHINES CORP,51143,NYSE
RTX,RTX Corp,101829,NYSE
AMAT,APPLIED MATERIALS INC /DE,6951,Nasdaq
INTC,INTEL CORP,50863,Nasdaq
UNH,UNITEDHEALTH GROUP INC,731766,NYSE
AXP,AMERICAN EXPRESS CO,4962,NYSE
NVO,NOVO NORDISK A S,353278,NYSE
QQQ,"INVESCO QQQ TRUST, SERIES 1",1067839,Nasdaq
RY,ROYAL BANK OF CANADA,1000275,NYSE
SAP,SAP SE,1000184,NYSE
MCD,MCDONALDS CORP,63908,NYSE
PEP,PEPSICO INC,77476,Nasdaq
TMUS,"T-Mobile US, Inc.",1283699,Nasdaq
C,CITIGROUP INC,831001,NYSE
MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,67088,NYSE
SHEL,Shell plc,1306965,NYSE
GEV,GE Vernova Inc.,1996810,NYSE
LIN,LINDE PLC,1707925,Nasdaq
AMGN,AMGEN INC,318154,Nasdaq
TMO,THERMO FISHER SCIENTIFIC INC.,97745,NYSE
TXN,TEXAS INSTRUMENTS INC,97476,Nasdaq
VZ,VERIZON COMMUNICATIONS INC,732712,NYSE
DIS,Walt Disney Co,1744489,NYSE
ABT,ABBOTT LABORATORIES,1800,NYSE
T,AT&T INC.,732717,NYSE
BA,BOEING CO,12927,NYSE
SCHW,SCHWAB CHARLES CORP,316709,NYSE
KLAC,KLA CORP,319201,Nasdaq
GILD,"GILEAD SCIENCES, INC.",882095,Nasdaq
SAN,"Banco Santander, S.A.",891478,NYSE
RIO,RIO TINTO PLC,863064,NYSE
NEE,NEXTERA ENERGY INC,753308,NYSE
CRM,"Salesforce, Inc.",1108524,NYSE
RTNTF,RIO TINTO LTD,887028,OTC
DTEGY,DEUTSCHE TELEKOM AG,946770,OTC
BHP,BHP Group Ltd,811809,NYSE
HDB,HDFC BANK LTD,1144967,NYSE
TJX,TJX COMPANIES INC /DE/,109198,NYSE
ISRG,INTUITIVE SURGICAL INC,1035267,Nasdaq
ANET,"Arista Networks, Inc.",1596532,NYSE
APH,AMPHENOL CORP /DE/,820313,NYSE
BLK,"BlackRock, Inc.",2012383,NYSE
SCCO,SOUTHERN COPPER CORP/,1001838,NYSE
TD,TORONTO DOMINION BANK,947263,NYSE
HTHIY,HITACHI LTD,47710,OTC
HON,HONEYWELL INTERNATIONAL INC,773840,Nasdaq
BX,Blackstone Inc.,1393818,NYSE
TTE,TotalEnergies SE,879764,NYSE
DE,DEERE & CO,315189,NYSE
UL,UNILEVER PLC,217410,NYSE
ADI,ANALOG DEVICES INC,6281,Nasdaq
LOW,LOWES COMPANIES INC,60667,NYSE
UBER,"Uber Technologies, Inc",1543151,NYSE
PFE,PFIZER INC,78003,NYSE
DHR,DANAHER CORP /DE/,313616,NYSE
UNP,UNION PACIFIC CORP,100885,NYSE
PDD,PDD Holdings Inc.,1737806,Nasdaq
ACN,Accenture plc,1467373,NYSE
BUD,Anheuser-Busch InBev SA/NV,1668717,NYSE
QCOM,QUALCOMM INC/DE,804328,Nasdaq
SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837,NYSE
SHOP,SHOPIFY INC.,1594805,Nasdaq
ETN,Eaton Corp plc,1551182,NYSE
BKNG,Booking Holdings Inc.,1075531,Nasdaq
LMT,LOCKHEED MARTIN CORP,936468,NYSE
COF,CAPITAL ONE FINANCIAL CORP,927628,NYSE
UBS,UBS Group AG,1610520,NYSE
APP,AppLovin Corp,1751008,Nasdaq
BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",842180,NYSE
SYK,STRYKER CORP,310764,NYSE
BTI,British American Tobacco p.l.c.,1303523,NYSE
WELL,WELLTOWER INC.,766704,NYSE
SPGI,S&P Global Inc.,64040,NYSE
COP,CONOCOPHILLIPS,1163165,NYSE
SONY,Sony Group Corp,313838,NYSE
MDT,Medtronic plc,1613103,NYSE
ARM,ARM HOLDINGS PLC /UK,1973239,Nasdaq
CB,Chubb Ltd,896159,NYSE
UTX,Ultratrex Inc.,2046954,
PLD,"Prologis, Inc.",1045609,NYSE
IBKR,"Interactive Brokers Group, Inc.",1381197,Nasdaq
